,grupo_linha,faixa,faixa_15,stop_name,ordem,boardings,alightings,cum_board,cum_alight,carga_abordo,data,qtd_partidas
39,b1_b2_b3_volta,5,05:45–06:00,est_pit,8,27.0457516339869,0.0,63.0457516339869,2.3,60.7457516339869,2025-10-06,4.0
40,b1_b2_b3_volta,5,05:45–06:00,est_ita,9,8.55555555555556,0.0,71.6013071895425,2.3,69.3013071895425,2025-10-06,3.0
41,b1_b2_b3_volta,5,05:45–06:00,est_prq,10,29.6129032258065,5.31372549019608,101.214210415349,7.61372549019608,93.6004849251529,2025-10-06,3.0
42,b1_b2_b3_volta,5,05:45–06:00,est_cid,11,14.25,1.3,115.464210415349,8.91372549019608,106.550484925153,2025-10-06,3.0
43,b1_b2_b3_volta,5,05:45–06:00,est_hip,12,50.0747663551402,23.2821104786,165.538976770489,32.1958359687961,133.343140801693,2025-10-06,3.0
44,b1_b2_b3_volta,5,05:45–06:00,est_rod,13,0.0,133.343140801693,165.538976770489,165.538976770489,-2.8421709430404e-14,2025-10-06,3.0
45,b1_b2_b3_volta,6,06:00–06:15,pt_bimba,1,24.5,0.0,24.5,0.0,24.5,2025-10-06,1.0
46,b1_b2_b3_volta,6,06:00–06:15,qua_ama,2,5.0,0.0,29.5,0.0,29.5,2025-10-06,2.0
47,b1_b2_b3_volta,6,06:00–06:15,pra_joao,3,7.0,0.0,36.5,0.0,36.5,2025-10-06,2.0
48,b1_b2_b3_volta,6,06:00–06:15,pt_largo,4,2.0,0.0,38.5,0.0,38.5,2025-10-06,2.0
49,b1_b2_b3_volta,6,06:00–06:15,pt_para,5,8.0,3.0,46.5,3.0,43.5,2025-10-06,2.0
50,b1_b2_b3_volta,6,06:00–06:15,pt_paraiba,6,2.0,0.0,48.5,3.0,45.5,2025-10-06,2.0
51,b1_b2_b3_volta,6,06:00–06:15,pra_nos,7,3.0,0.0,51.5,3.0,48.5,2025-10-06,2.0
52,b1_b2_b3_volta,6,06:00–06:15,est_pit,8,48.8666333666334,1.0,100.366633366633,4.0,96.3666333666334,2025-10-06,4.0
53,b1_b2_b3_volta,6,06:00–06:15,est_ita,9,19.0,0.0,119.366633366633,4.0,115.366633366633,2025-10-06,4.0
54,b1_b2_b3_volta,6,06:00–06:15,est_prq,10,36.6842105263158,3.0,156.050843892949,7.0,149.050843892949,2025-10-06,4.0
55,b1_b2_b3_volta,6,06:00–06:15,est_cid,11,27.0,3.85714285714286,183.050843892949,10.8571428571429,172.193701035806,2025-10-06,3.0
56,b1_b2_b3_volta,6,06:00–06:15,est_hip,12,43.9825327510917,54.9097240478819,227.033376644041,65.7668669050248,161.266509739016,2025-10-06,4.0
57,b1_b2_b3_volta,6,06:00–06:15,est_rod,13,0.0,161.266509739016,227.033376644041,227.033376644041,-2.8421709430404e-14,2025-10-06,3.0
58,b1_b2_b3_volta,6,06:15–06:30,pt_bimba,1,38.0,0.0,38.0,0.0,38.0,2025-10-06,2.0
59,b1_b2_b3_volta,6,06:15–06:30,qua_ama,2,2.0,0.0,40.0,0.0,40.0,2025-10-06,2.0
60,b1_b2_b3_volta,6,06:15–06:30,pt_largo,4,5.0,0.0,45.0,0.0,45.0,2025-10-06,1.0
61,b1_b2_b3_volta,6,06:15–06:30,pt_para,5,4.0,0.0,49.0,0.0,49.0,2025-10-06,1.0
62,b1_b2_b3_volta,6,06:15–06:30,pra_nos,7,3.0,0.0,52.0,0.0,52.0,2025-10-06,1.0
63,b1_b2_b3_volta,6,06:15–06:30,est_pit,8,52.3279220779221,0.0,104.327922077922,0.0,104.327922077922,2025-10-06,6.0
64,b1_b2_b3_volta,6,06:15–06:30,est_ita,9,15.1666666666667,0.0,119.494588744589,0.0,119.494588744589,2025-10-06,7.0
65,b1_b2_b3_volta,6,06:15–06:30,est_prq,10,35.0204081632653,1.16666666666667,154.514996907854,1.16666666666667,153.348330241187,2025-10-06,6.0
66,b1_b2_b3_volta,6,06:15–06:30,est_cid,11,27.2058823529412,3.45011337868481,181.720879260795,4.61678004535147,177.104099215444,2025-10-06,5.0
67,b1_b2_b3_volta,6,06:15–06:30,est_hip,12,59.1984732824427,47.3527830712705,240.919352543238,51.9695631166219,188.949789426616,2025-10-06,5.0
68,b1_b2_b3_volta,6,06:15–06:30,est_rod,13,0.0,188.949789426616,240.919352543238,240.919352543238,0.0,2025-10-06,5.0
69,b1_b2_b3_volta,6,06:30–06:45,pt_bimba,1,48.1666666666667,0.0,48.1666666666667,0.0,48.1666666666667,2025-10-06,4.0
70,b1_b2_b3_volta,6,06:30–06:45,qua_ama,2,18.0,0.0,66.1666666666667,0.0,66.1666666666667,2025-10-06,4.0
71,b1_b2_b3_volta,6,06:30–06:45,pra_joao,3,11.0,0.0,77.1666666666667,0.0,77.1666666666667,2025-10-06,4.0
72,b1_b2_b3_volta,6,06:30–06:45,pt_largo,4,17.0,0.0,94.1666666666667,0.0,94.1666666666667,2025-10-06,3.0
73,b1_b2_b3_volta,6,06:30–06:45,pt_para,5,8.0,6.8,102.166666666667,6.8,95.3666666666667,2025-10-06,3.0
74,b1_b2_b3_volta,6,06:30–06:45,pt_paraiba,6,5.0,0.0,107.166666666667,6.8,100.366666666667,2025-10-06,3.0
75,b1_b2_b3_volta,6,06:30–06:45,pra_nos,7,9.0,0.0,116.166666666667,6.8,109.366666666667,2025-10-06,3.0
76,b1_b2_b3_volta,6,06:30–06:45,est_pit,8,74.9333333333333,2.30769230769231,191.1,9.10769230769231,181.992307692308,2025-10-06,6.0
77,b1_b2_b3_volta,6,06:30–06:45,est_ita,9,3.75,0.0,194.85,9.10769230769231,185.742307692308,2025-10-06,5.0
78,b1_b2_b3_volta,6,06:30–06:45,est_prq,10,28.0,0.0,222.85,9.10769230769231,213.742307692308,2025-10-06,4.0
79,b1_b2_b3_volta,6,06:30–06:45,est_cid,11,27.2058823529412,4.02777777777778,250.055882352941,13.1354700854701,236.920412267471,2025-10-06,6.0
80,b1_b2_b3_volta,6,06:30–06:45,est_hip,12,74.9275362318841,54.1929815282756,324.983418584825,67.3284516137457,257.654966971079,2025-10-06,5.0
81,b1_b2_b3_volta,6,06:30–06:45,est_rod,13,0.0,257.654966971079,324.983418584825,324.983418584825,0.0,2025-10-06,5.0
82,b1_b2_b3_volta,6,06:45–07:00,pt_bimba,1,29.0,0.0,29.0,0.0,29.0,2025-10-06,2.0
83,b1_b2_b3_volta,6,06:45–07:00,qua_ama,2,8.0,0.0,37.0,0.0,37.0,2025-10-06,2.0
84,b1_b2_b3_volta,6,06:45–07:00,pra_joao,3,8.0,2.25,45.0,2.25,42.75,2025-10-06,3.0
85,b1_b2_b3_volta,6,06:45–07:00,pt_largo,4,14.0,0.0,59.0,2.25,56.75,2025-10-06,4.0
86,b1_b2_b3_volta,6,06:45–07:00,pt_para,5,8.0,2.25,67.0,4.5,62.5,2025-10-06,4.0
87,b1_b2_b3_volta,6,06:45–07:00,pt_paraiba,6,2.0,4.5,69.0,9.0,60.0,2025-10-06,2.0
88,b1_b2_b3_volta,6,06:45–07:00,pra_nos,7,5.0,0.0,74.0,9.0,65.0,2025-10-06,2.0
89,b1_b2_b3_volta,6,06:45–07:00,est_pit,8,74.236984448952,0.0,148.236984448952,9.0,139.236984448952,2025-10-06,8.0
90,b1_b2_b3_volta,6,06:45–07:00,est_ita,9,19.9047619047619,0.0,168.141746353714,9.0,159.141746353714,2025-10-06,9.0
91,b1_b2_b3_volta,6,06:45–07:00,est_prq,10,41.6,3.14285714285714,209.741746353714,12.1428571428571,197.598889210857,2025-10-06,10.0
92,b1_b2_b3_volta,6,06:45–07:00,est_cid,11,32.9,5.54761904761905,242.641746353714,17.6904761904762,224.951270163238,2025-10-06,6.0
93,b1_b2_b3_volta,6,06:45–07:00,est_hip,12,52.1545064377682,55.6205954795711,294.796252791482,73.3110716700473,221.485181121435,2025-10-06,7.0
94,b1_b2_b3_volta,6,06:45–07:00,est_rod,13,0.0,221.485181121435,294.796252791482,294.796252791482,5.6843418860808e-14,2025-10-06,7.0
95,b1_b2_b3_volta,7,07:00–07:15,pt_bimba,1,44.6666666666667,0.0,44.6666666666667,0.0,44.6666666666667,2025-10-06,4.0
96,b1_b2_b3_volta,7,07:00–07:15,qua_ama,2,19.0,0.0,63.6666666666667,0.0,63.6666666666667,2025-10-06,4.0
97,b1_b2_b3_volta,7,07:00–07:15,pra_joao,3,11.0,2.40849673202614,74.6666666666667,2.40849673202614,72.2581699346405,2025-10-06,4.0
98,b1_b2_b3_volta,7,07:00–07:15,pt_largo,4,4.0,0.0,78.6666666666667,2.40849673202614,76.2581699346405,2025-10-06,3.0
99,b1_b2_b3_volta,7,07:00–07:15,pt_para,5,18.0,2.11111111111111,96.6666666666667,4.51960784313725,92.1470588235294,2025-10-06,3.0
100,b1_b2_b3_volta,7,07:00–07:15,pt_paraiba,6,13.0,0.0,109.666666666667,4.51960784313725,105.147058823529,2025-10-06,4.0
101,b1_b2_b3_volta,7,07:00–07:15,pra_nos,7,7.0,0.0,116.666666666667,4.51960784313725,112.147058823529,2025-10-06,3.0
102,b1_b2_b3_volta,7,07:00–07:15,est_pit,8,120.943971097396,4.96143790849673,237.610637764062,9.48104575163399,228.129592012428,2025-10-06,7.0
103,b1_b2_b3_volta,7,07:00–07:15,est_ita,9,39.7837837837838,1.27397260273973,277.394421547846,10.7550183543737,266.639403193473,2025-10-06,6.0
104,b1_b2_b3_volta,7,07:00–07:15,est_prq,10,33.1428571428571,7.45945945945946,310.537278690703,18.2144778138332,292.32280087687,2025-10-06,7.0
105,b1_b2_b3_volta,7,07:00–07:15,est_cid,11,62.4,1.75,372.937278690703,19.9644778138332,352.97280087687,2025-10-06,9.0
106,b1_b2_b3_volta,7,07:00–07:15,est_hip,12,76.8849557522124,113.160257388823,449.822234442916,133.124735202656,316.69749924026,2025-10-06,8.0
107,b1_b2_b3_volta,7,07:00–07:15,est_rod,13,0.0,316.69749924026,449.822234442916,449.822234442916,0.0,2025-10-06,9.0
108,b1_b2_b3_volta,7,07:15–07:30,pt_bimba,1,38.6333333333333,0.0,38.6333333333333,0.0,38.6333333333333,2025-10-06,4.0
109,b1_b2_b3_volta,7,07:15–07:30,qua_ama,2,2.0,0.0,40.6333333333333,0.0,40.6333333333333,2025-10-06,4.0
110,b1_b2_b3_volta,7,07:15–07:30,pra_joao,3,6.0,0.0,46.6333333333333,0.0,46.6333333333333,2025-10-06,1.0
111,b1_b2_b3_volta,7,07:15–07:30,pt_largo,4,16.0,0.0,62.6333333333333,0.0,62.6333333333333,2025-10-06,2.0
112,b1_b2_b3_volta,7,07:15–07:30,pt_para,5,6.0,1.45454545454545,68.6333333333333,1.45454545454545,67.1787878787879,2025-10-06,2.0
113,b1_b2_b3_volta,7,07:15–07:30,pt_paraiba,6,3.0,0.0,71.6333333333333,1.45454545454545,70.1787878787879,2025-10-06,3.0
114,b1_b2_b3_volta,7,07:15–07:30,pra_nos,7,9.0,0.0,80.6333333333333,1.45454545454545,79.1787878787879,2025-10-06,4.0
115,b1_b2_b3_volta,7,07:15–07:30,est_pit,8,117.211622276029,2.5,197.844955609362,3.95454545454545,193.890410154817,2025-10-06,13.0
116,b1_b2_b3_volta,7,07:15–07:30,est_ita,9,30.1935483870968,0.0,228.038503996459,3.95454545454545,224.083958541914,2025-10-06,11.0
117,b1_b2_b3_volta,7,07:15–07:30,est_prq,10,58.4109589041096,4.64516129032258,286.449462900569,8.59970674486804,277.849756155701,2025-10-06,9.0
118,b1_b2_b3_volta,7,07:15–07:30,est_cid,11,44.4166666666667,0.0,330.866129567235,8.59970674486804,322.266422822367,2025-10-06,6.0
119,b1_b2_b3_volta,7,07:15–07:30,est_hip,12,64.0071428571429,107.915838744899,394.873272424378,116.515545489767,278.357726934611,2025-10-06,7.0
120,b1_b2_b3_volta,7,07:15–07:30,est_rod,13,0.0,278.357726934611,394.873272424378,394.873272424378,5.6843418860808e-14,2025-10-06,6.0
121,b1_b2_b3_volta,7,07:30–07:45,pt_bimba,1,41.0,0.0,41.0,0.0,41.0,2025-10-06,2.0
122,b1_b2_b3_volta,7,07:30–07:45,qua_ama,2,7.0,0.0,48.0,0.0,48.0,2025-10-06,2.0
123,b1_b2_b3_volta,7,07:30–07:45,pra_joao,3,14.0,0.0,62.0,0.0,62.0,2025-10-06,5.0
124,b1_b2_b3_volta,7,07:30–07:45,pt_largo,4,15.0,1.33333333333333,77.0,1.33333333333333,75.6666666666667,2025-10-06,5.0
125,b1_b2_b3_volta,7,07:30–07:45,pt_para,5,16.0,10.0666666666667,93.0,11.4,81.6,2025-10-06,5.0
126,b1_b2_b3_volta,7,07:30–07:45,pt_paraiba,6,7.0,1.66666666666667,100.0,13.0666666666667,86.9333333333333,2025-10-06,5.0
