grupo_linha,faixa,faixa_15,estacao_pico,carga_maxima,data,qtd_partidas
b1_b2_ida,6,06:45–07:00,est_hip,955.407690833844,2025-10-06,10.0
b1_b2_ida,7,07:00–07:15,est_hip,1037.13829346567,2025-10-06,14.0
b1_b2_ida,7,07:15–07:30,est_hip,1068.44222635851,2025-10-06,14.0
b1_b2_ida,7,07:30–07:45,est_rod,1123.29214195184,2025-10-06,11.0
b1_b2_ida,7,07:45–08:00,est_hip,957.637465790914,2025-10-06,13.0
b1_b2_ida,8,08:00–08:15,est_hip,845.037865497076,2025-10-06,12.0
b1_b2_ida,8,08:15–08:30,est_hip,803.879614325069,2025-10-06,10.0
b1_b2_ida,8,08:30–08:45,est_hip,692.531677079266,2025-10-06,9.0
b1_b2_ida,8,08:45–09:00,est_hip,547.148082191781,2025-10-06,8.0
b1_b2_ida,9,09:00–09:30,est_hip,736.348371836869,2025-10-06,9.0
b1_b2_ida,9,09:30–10:00,est_hip,546.328968723955,2025-10-06,8.0
b1_b2_ida,10,10:00–10:30,est_hip,444.800134507214,2025-10-06,7.0
b1_b2_ida,10,10:30–11:00,est_hip,404.84238160604,2025-10-06,6.0
b1_b2_ida,11,11:00–11:30,est_pit,405.117548082881,2025-10-06,6.0
b1_b2_ida,11,11:30–12:00,est_hip,439.165741347905,2025-10-06,6.0
b1_b2_ida,12,12:00–12:30,est_hip,501.638599817735,2025-10-06,8.0
b1_b2_ida,12,12:30–13:00,est_hip,532.640606990147,2025-10-06,8.0
b1_b2_ida,13,13:00–13:30,est_hip,465.982292807594,2025-10-06,8.0
b1_b2_ida,13,13:30–14:00,est_hip,401.585164007944,2025-10-06,6.0
b1_b2_ida,14,14:00–14:30,est_hip,294.965549473421,2025-10-06,6.0
b1_b2_ida,14,14:30–15:00,est_hip,279.352536231884,2025-10-06,6.0
b1_b2_ida,15,15:00–15:30,est_pit,270.816212684652,2025-10-06,4.0
b1_b2_ida,15,15:30–16:00,est_pit,256.790484448082,2025-10-06,3.0
b1_b2_ida,16,16:00–16:15,est_pit,160.395722194183,2025-10-06,3.0
b1_b2_ida,16,16:15–16:30,est_pit,177.624592250008,2025-10-06,2.0
b1_b2_ida,16,16:30–16:45,est_pit,188.371258890932,2025-10-06,2.0
b1_b2_ida,16,16:45–17:00,est_pit,229.357919085172,2025-10-06,3.0
b1_b2_ida,17,17:00–17:15,est_pit,286.224905021403,2025-10-06,3.0
b1_b2_ida,17,17:15–17:30,est_pit,311.240987762163,2025-10-06,4.0
b1_b2_ida,17,17:30–17:45,est_pit,319.402414642972,2025-10-06,3.0
b1_b2_ida,17,17:45–18:00,est_pit,263.623073793418,2025-10-06,4.0
b1_b2_ida,18,18:00–18:15,est_pit,361.555034876548,2025-10-06,3.0
b1_b2_ida,18,18:15–18:30,est_pit,275.507311616812,2025-10-06,4.0
b1_b2_ida,18,18:30–18:45,est_pit,244.521515627991,2025-10-06,4.0
b1_b2_ida,18,18:45–19:00,est_rod,190.021857923497,2025-10-06,2.0
b1_b2_ida,19,19:00–19:15,est_pit,132.878639413923,2025-10-06,1.0
b1_b2_ida,19,19:15–19:30,est_pit,126.353109372607,2025-10-06,1.0
b1_b2_ida,19,19:30–19:45,est_pit,93.3570243438053,2025-10-06,2.0
b1_b2_ida,19,19:45–20:00,est_rod,66.5913461538462,2025-10-06,2.0
b1_b2_ida,20,20:00–20:30,est_pit,106.46493573506,2025-10-06,2.0
b1_b2_ida,20,20:30–21:00,est_rod,102.384615384615,2025-10-06,2.0
b1_b2_ida,21,21:00–21:30,est_pit,118.465884816602,2025-10-06,1.0
b1_b2_ida,21,21:30–22:00,est_pit,94.8557785045269,2025-10-06,2.0
b1_b2_ida,22,22:00–22:30,est_rod,97.3620689655172,2025-10-06,1.0
b1_b2_ida,22,22:30–23:00,est_hip,53.75,2025-10-06,2.0
b1_b2_ida,23,23:00–23:30,est_hip,6.0,2025-10-06,1.0
b3_ida,5,05:00–05:15,est_rod,40.2653013236242,2025-10-06,2.0
b3_ida,5,05:15–05:30,est_rod,77.629318254561,2025-10-06,2.0
b3_ida,5,05:30–05:45,est_rod,122.409804861254,2025-10-06,2.0
b3_ida,5,05:45–06:00,est_rod,156.973778848958,2025-10-06,3.0
b3_ida,6,06:00–06:15,est_rod,214.565176649305,2025-10-06,3.0
b3_ida,6,06:15–06:30,est_rod,334.780816664763,2025-10-06,5.0
b3_ida,6,06:30–06:45,est_rod,356.738380898626,2025-10-06,5.0
b3_ida,6,06:45–07:00,est_rod,383.215182267712,2025-10-06,5.0
b3_ida,7,07:00–07:15,est_rod,350.304567200355,2025-10-06,8.0
b3_ida,7,07:15–07:30,est_rod,427.117538882087,2025-10-06,7.0
